Monroe County,"$995,000",6 ac,"East Stroudsburg, PA 18301"
St. Lawrence County,"$275,000",2.9 ac,"Massena, NY 13662"
St. Lawrence County,"$219,900",10.5 ac,"Massena, NY 13662"
St. Lawrence County,"$150,000",2.8 ac,"Massena, NY 13662"
St. Lawrence County,"$2,500,000",1.24 ac,"Massena, NY 13662"
Monroe County,"$495,000",2.88 ac,"Stroudsburg, PA 18360"
Northampton County,"$499,000",6.25 ac,"Easton, PA 18042"
Monroe County,"$849,000",10 ac,"Henryville, PA 18332"
Wayne County,"$35,000",4.39 ac,"Honesdale, PA 18431"
Monroe County,"$950,000",14.7 ac,"Saylorsburg, PA 18353"
St. Lawrence County,"$400,000",2.2 ac,"Potsdam, NY 13676"
Monroe County,"$1,250,000",5 ac,"Stroudsburg, PA 18360"
Monroe County,"$595,000",3.52 ac,"Stroudsburg, PA 18360"
Wayne County,"$3,300,000",6.78 ac,"Honesdale, PA 18431"
Monroe County,"$590,000",4.58 ac,"Stroudsburg, PA 18360"
Monroe County,"$650,000",4.76 ac,"Stroudsburg, PA 18360"
Northampton County,"$1,150,000",14.3 ac,"Lower Nazareth Township, PA 18064"
Oneida County,"$650,000",49 ac,"Trenton Town, NY 13304"
St. Lawrence County,"$472,000",90 ac,"Potsdam, NY 13676"
Monroe County,"$2,500,000",11 ac,"Stroudsburg, PA 18360"
Monroe County,"$3,495,000",48 ac,"Henryville, PA 18332"
Monroe County,"$399,900",3.3 ac,"Sciota, PA 18354"
Monroe County,"$150,000",1.4 ac,"Stroudsburg, PA 18360"
Monroe County,"$1,100,000",5.76 ac,"Scotrun, PA 18355"
Monroe County,"$4,200,000",2.89 ac,"Scotrun, PA 18355"
Monroe County,"$195,000",4.64 ac,"Saylorsburg, PA 18353"
Dare County,"$2,200,000",1.61 ac,"Avon, NC 27915"
Monroe County,"$449,500",2.45 ac,"Sciota, PA 18354"
Salem County,"$800,000",20 ac,"Salem, NJ 08079"
Monroe County,"$899,000",32 ac,"Stroudsburg, PA 18360"
Kent County,"$749,950",3.9 ac,"Milford, DE 19963"
Oneida County,"$450,000",7 ac,"Deerfield, NY 13502"
Bucks County,"$3,999,999",3.48 ac,"Springfield Township, PA 18036"
Northampton County,"$67,500",2 ac,"Wind Gap, PA 18091"
St. Lawrence County,"$430,000",15 ac,"Potsdam, NY 13676"
Monroe County,"$220,000",3.35 ac,"Mount Pocono, PA 18344"
Monroe County,"$450,000",2.48 ac,"Saylorsburg, PA 18353"
